bench=balibase	algo=clustalo	acc=BB11001	z=4.645	lddt_mu=0.7907
bench=balibase	algo=clustalo	acc=BB11002	z=-1.472	lddt_mu=0.5008
bench=balibase	algo=clustalo	acc=BB11004	z=2.139	lddt_mu=0.7340
bench=balibase	algo=clustalo	acc=BB11005	z=-0.791	lddt_mu=0.7112
bench=balibase	algo=clustalo	acc=BB11006	z=-1.744	lddt_mu=0.7447
bench=balibase	algo=clustalo	acc=BB11007	z=3.986	lddt_mu=0.7665
bench=balibase	algo=clustalo	acc=BB11009	z=-0.277	lddt_mu=0.3764
bench=balibase	algo=clustalo	acc=BB11012	z=18.102	lddt_mu=0.7681
bench=balibase	algo=clustalo	acc=BB11013	z=-1.907	lddt_mu=0.6203
bench=balibase	algo=clustalo	acc=BB11014	z=5.596	lddt_mu=0.7155
bench=balibase	algo=clustalo	acc=BB11016	z=1.231	lddt_mu=0.7948
bench=balibase	algo=clustalo	acc=BB11018	z=0.073	lddt_mu=0.8505
bench=balibase	algo=clustalo	acc=BB11019	z=0.428	lddt_mu=0.7193
bench=balibase	algo=clustalo	acc=BB11020	z=0.757	lddt_mu=0.7733
bench=balibase	algo=clustalo	acc=BB11021	z=-0.223	lddt_mu=0.7820
bench=balibase	algo=clustalo	acc=BB11022	z=-1.704	lddt_mu=0.4209
bench=balibase	algo=clustalo	acc=BB11023	z=0.532	lddt_mu=0.7560
bench=balibase	algo=clustalo	acc=BB11024	z=-1.671	lddt_mu=0.6537
bench=balibase	algo=clustalo	acc=BB11025	z=-1.937	lddt_mu=0.5422
bench=balibase	algo=clustalo	acc=BB11026	z=-1.934	lddt_mu=0.2688
bench=balibase	algo=clustalo	acc=BB11027	z=-0.491	lddt_mu=0.7699
bench=balibase	algo=clustalo	acc=BB11028	z=-1.602	lddt_mu=0.5261
bench=balibase	algo=clustalo	acc=BB11030	z=0.406	lddt_mu=0.7598
bench=balibase	algo=clustalo	acc=BB11031	z=0.789	lddt_mu=0.7241
bench=balibase	algo=clustalo	acc=BB11032	z=0.729	lddt_mu=0.7579
