bench=balibase	algo=clustalo	acc=BB11001	tc=0.9123	z=5.483	lddt_mu=0.7120
bench=balibase	algo=clustalo	acc=BB11002	tc=0.0000	z=-0.536	lddt_mu=0.6013
bench=balibase	algo=clustalo	acc=BB11004	tc=0.4076	z=-4.593	lddt_mu=0.4998
bench=balibase	algo=clustalo	acc=BB11005	tc=0.1818	z=-4.021	lddt_mu=0.4359
bench=balibase	algo=clustalo	acc=BB11006	tc=0.3125	z=-14.833	lddt_mu=0.3609
bench=balibase	algo=clustalo	acc=BB11007	tc=0.5352	z=12.383	lddt_mu=0.5562
bench=balibase	algo=clustalo	acc=BB11009	tc=0.0000	z=1.094	lddt_mu=0.5677
bench=balibase	algo=clustalo	acc=BB11012	tc=0.8088	z=25.686	lddt_mu=0.6846
bench=balibase	algo=clustalo	acc=BB11013	tc=0.0000	z=-5.852	lddt_mu=0.3766
bench=balibase	algo=clustalo	acc=BB11014	tc=0.6895	z=12.763	lddt_mu=0.5746
bench=balibase	algo=clustalo	acc=BB11016	tc=0.5545	z=-0.353	lddt_mu=0.4981
bench=balibase	algo=clustalo	acc=BB11018	tc=0.5248	z=-6.838	lddt_mu=0.4448
bench=balibase	algo=clustalo	acc=BB11019	tc=0.3918	z=5.562	lddt_mu=0.5360
bench=balibase	algo=clustalo	acc=BB11020	tc=0.4133	z=5.017	lddt_mu=0.5629
bench=balibase	algo=clustalo	acc=BB11021	tc=0.4898	z=-5.230	lddt_mu=0.4983
bench=balibase	algo=clustalo	acc=BB11022	tc=0.0000	z=-7.286	lddt_mu=0.3674
bench=balibase	algo=clustalo	acc=BB11023	tc=0.4756	z=-3.453	lddt_mu=0.4672
bench=balibase	algo=clustalo	acc=BB11024	tc=0.0097	z=-15.328	lddt_mu=0.3753
bench=balibase	algo=clustalo	acc=BB11025	tc=0.0000	z=-7.145	lddt_mu=0.3818
bench=balibase	algo=clustalo	acc=BB11026	tc=0.0000	z=-3.906	lddt_mu=0.4383
bench=balibase	algo=clustalo	acc=BB11027	tc=0.2857	z=-9.849	lddt_mu=0.3937
